timestamp,price
2026-03-20T14:30:12.318712,0.3278
2026-03-21T14:30:12.318712,0.318
2026-03-22T14:30:12.318712,0.3233
2026-03-23T14:30:12.318712,0.3287
2026-03-24T14:30:12.318712,0.3279
2026-03-25T14:30:12.318712,0.3343
2026-03-26T14:30:12.318712,0.3323
2026-03-27T14:30:12.318712,0.3405
2026-03-28T14:30:12.318712,0.3504
2026-03-29T14:30:12.318712,0.3499
2026-03-30T14:30:12.318712,0.3456
2026-03-31T14:30:12.318712,0.347
2026-04-01T14:30:12.318712,0.348
2026-04-02T14:30:12.318712,0.3484
2026-04-03T14:30:12.318712,0.3429
2026-04-04T14:30:12.318712,0.3477
2026-04-05T14:30:12.318712,0.3424
2026-04-06T14:30:12.318712,0.3491
2026-04-07T14:30:12.318712,0.3488
2026-04-08T14:30:12.318712,0.3403
2026-04-09T14:30:12.318712,0.3302
2026-04-10T14:30:12.318712,0.3393
2026-04-11T14:30:12.318712,0.3338
2026-04-12T14:30:12.318712,0.3311
2026-04-13T14:30:12.318712,0.3378
2026-04-14T14:30:12.318712,0.3311
2026-04-15T14:30:12.318712,0.3396
2026-04-16T14:30:12.318712,0.3327
2026-04-17T14:30:12.318712,0.3329
2026-04-18T14:30:12.318712,0.3235
