timestamp,price
2026-03-20T10:24:53.440275,0.5632
2026-03-21T10:24:53.440275,0.5496
2026-03-22T10:24:53.440275,0.5255
2026-03-23T10:24:53.440275,0.5125
2026-03-24T10:24:53.440275,0.5319
2026-03-25T10:24:53.440275,0.5107
2026-03-26T10:24:53.440275,0.5221
2026-03-27T10:24:53.440275,0.5462
2026-03-28T10:24:53.440275,0.5469
2026-03-29T10:24:53.440275,0.5717
2026-03-30T10:24:53.440275,0.5875
2026-03-31T10:24:53.440275,0.5985
2026-04-01T10:24:53.440275,0.5945
2026-04-02T10:24:53.440275,0.6152
2026-04-03T10:24:53.440275,0.6161
2026-04-04T10:24:53.440275,0.5919
2026-04-05T10:24:53.440275,0.5855
2026-04-06T10:24:53.440275,0.5589
2026-04-07T10:24:53.440275,0.545
2026-04-08T10:24:53.440275,0.5416
2026-04-09T10:24:53.440275,0.5587
2026-04-10T10:24:53.440275,0.5467
2026-04-11T10:24:53.440275,0.5421
2026-04-12T10:24:53.440275,0.5513
2026-04-13T10:24:53.440275,0.5487
2026-04-14T10:24:53.440275,0.5325
2026-04-15T10:24:53.440275,0.5158
2026-04-16T10:24:53.440275,0.5311
2026-04-17T10:24:53.440275,0.5072
2026-04-18T10:24:53.440275,0.5178
