timestamp,price
2026-03-20T14:30:12.316173,0.521
2026-03-21T14:30:12.316173,0.5232
2026-03-22T14:30:12.316173,0.5305
2026-03-23T14:30:12.316173,0.5151
2026-03-24T14:30:12.316173,0.5255
2026-03-25T14:30:12.316173,0.5389
2026-03-26T14:30:12.316173,0.5416
2026-03-27T14:30:12.316173,0.5566
2026-03-28T14:30:12.316173,0.5417
2026-03-29T14:30:12.316173,0.531
2026-03-30T14:30:12.316173,0.5395
2026-03-31T14:30:12.316173,0.5501
2026-04-01T14:30:12.316173,0.5527
2026-04-02T14:30:12.316173,0.5508
2026-04-03T14:30:12.316173,0.553
2026-04-04T14:30:12.316173,0.5443
2026-04-05T14:30:12.316173,0.5286
2026-04-06T14:30:12.316173,0.5338
2026-04-07T14:30:12.316173,0.518
2026-04-08T14:30:12.316173,0.5276
2026-04-09T14:30:12.316173,0.524
2026-04-10T14:30:12.316173,0.5259
2026-04-11T14:30:12.316173,0.5204
2026-04-12T14:30:12.316173,0.5203
2026-04-13T14:30:12.316173,0.5248
2026-04-14T14:30:12.316173,0.5121
2026-04-15T14:30:12.316173,0.5029
2026-04-16T14:30:12.316173,0.5113
2026-04-17T14:30:12.316173,0.5032
2026-04-18T14:30:12.316173,0.4929
